% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 94.51    0.031351       15675         2           futex
  1.19    0.000396          13        29           mmap
  0.96    0.000318         318         1           execve
  0.75    0.000250          11        21        11 openat
  0.70    0.000232          14        16           mprotect
  0.51    0.000168          56         3           rt_sigprocmask
  0.26    0.000087          21         4           newfstatat
  0.25    0.000083           5        16           munmap
  0.20    0.000066           6        10           close
  0.19    0.000062           6         9           read
  0.16    0.000054          27         2           readlinkat
  0.16    0.000052           5        10           fstat
  0.07    0.000022           7         3           brk
  0.06    0.000021          10         2         1 faccessat
  0.01    0.000002           2         1           set_tid_address
  0.01    0.000002           2         1           set_robust_list
  0.01    0.000002           2         1           getrandom
  0.01    0.000002           2         1           rseq
  0.00    0.000001           1         1           prlimit64
  0.00    0.000000           0         1           rt_sigaction
  0.00    0.000000           0         1           getpid
  0.00    0.000000           0         1           clone3
------ ----------- ----------- --------- --------- ----------------
100.00    0.033171         243       136        12 total
