% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 15.27    0.000508         508         1           execve
 12.92    0.000430          21        20        13 openat
 12.14    0.000404          33        12           mmap
  7.72    0.000257          42         6           mprotect
  7.27    0.000242          17        14           rt_sigaction
  5.26    0.000175          35         5           munmap
  4.87    0.000162          23         7           fstat
  4.78    0.000159          53         3           brk
  4.75    0.000158          31         5           read
  4.00    0.000133          19         7           close
  2.74    0.000091          30         3           getppid
  2.68    0.000089          12         7           newfstatat
  1.92    0.000064          21         3         3 ioctl
  1.56    0.000052          17         3           getpid
  1.41    0.000047          47         1           getresuid
  1.32    0.000044          44         1           futex
  1.14    0.000038          12         3           rt_sigprocmask
  1.14    0.000038          12         3           prlimit64
  0.93    0.000031          10         3           lseek
  0.90    0.000030          10         3         1 fcntl
  0.87    0.000029          29         1           write
  0.75    0.000025          25         1         1 faccessat
  0.60    0.000020          20         1           getrandom
  0.51    0.000017          17         1           getpgid
  0.45    0.000015          15         1           dup3
  0.45    0.000015          15         1           getresgid
  0.42    0.000014          14         1           set_tid_address
  0.42    0.000014          14         1           set_robust_list
  0.42    0.000014          14         1           rseq
  0.36    0.000012          12         1           uname
------ ----------- ----------- --------- --------- ----------------
100.00    0.003327          27       120        18 total
