% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 33.67    0.000402          22        18           mmap
 26.80    0.000320          32        10           mprotect
 10.05    0.000120          13         9           munmap
  7.87    0.000094          18         5           close
  6.95    0.000083          13         6           fstat
  6.37    0.000076          19         4           read
  4.77    0.000057          11         5           openat
  1.17    0.000014          14         1           write
  1.01    0.000012          12         1           futex
  0.50    0.000006           2         3           brk
  0.25    0.000003           3         1           getrandom
  0.17    0.000002           2         1           set_tid_address
  0.17    0.000002           2         1           prlimit64
  0.17    0.000002           2         1           rseq
  0.08    0.000001           1         1           set_robust_list
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ----------------
100.00    0.001194          17        69         1 total
