% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 15.78    0.000724          10        66           rt_sigaction
 14.76    0.000677          28        24           mmap
 10.59    0.000486          14        33         5 openat
  7.82    0.000359          10        34           read
  7.50    0.000344           4        76        22 newfstatat
  6.41    0.000294           8        33           fstat
  6.32    0.000290          10        28           close
  5.38    0.000247          20        12           munmap
  4.82    0.000221          15        14           getdents64
  4.80    0.000220          22        10           mprotect
  3.88    0.000178           7        23         2 lseek
  1.46    0.000067          16         4           brk
  1.35    0.000062           8         7         2 ioctl
  1.26    0.000058          14         4           rt_sigprocmask
  1.22    0.000056          14         4           fcntl
  1.05    0.000048          24         2           prlimit64
  0.78    0.000036          36         1           madvise
  0.78    0.000036          12         3           getrandom
  0.76    0.000035          11         3           getcwd
  0.70    0.000032          32         1           set_tid_address
  0.63    0.000029          29         1           sched_getaffinity
  0.37    0.000017          17         1           futex
  0.35    0.000016          16         1           set_robust_list
  0.35    0.000016          16         1           getgid
  0.26    0.000012          12         1           gettid
  0.26    0.000012          12         1           rseq
  0.13    0.000006           6         1           getegid
  0.11    0.000005           5         1           getuid
  0.11    0.000005           5         1           geteuid
  0.00    0.000000           0         1         1 faccessat
  0.00    0.000000           0         1           write
  0.00    0.000000           0         5         4 readlinkat
  0.00    0.000000           0         1           execve
------ ----------- ----------- --------- --------- ------------------
100.00    0.004588          11       399        36 total
